Neighborhood,Post Code
"Whitechapel, Stepney, Mile End",E1
Wapping,E1W
"Bethnal Green, Shoreditch",E2
"Bow, Bromley-by-Bow",E3
"Chingford, Highams Park",E4
Clapton,E5
East Ham,E6
"Forest Gate, Upton Park",E7
"Hackney, Dalston",E8
"Hackney, Homerton",E9
Leyton,E10
Leytonstone,E11
Manor Park,E12
Plaistow,E13
"Poplar, Millwall, Isle of Dogs, Docklands",E14
"Stratford, West Ham",E15
"Canning Town, North Woolwich, Docklands",E16
Walthamstow,E17
South Woodford,E18
Olympic Park,E20
"Bloomsbury, Grays Inn",WC1
"Covent Garden, Holborn, Strand",WC2
"Clerkenwell, Finsbury, Barbican",EC1
"Moorgate, Liverpool Street",EC2
"Monument, Tower Hill, Aldgate",EC3
"Fleet Street, St. Pauls",EC4
"Islington, Barnsbury, Canonbury",N1
East Finchley,N2
Finchley Central,N3
"Finsbury Park, Manor House",N4
Highbury,N5
Highgate,N6
Holloway,N7
"Hornsey, Crouch End",N8
Lower Edmonton,N9
Muswell Hill,N10
"Friern Barnet, New Southgate",N11
"North Finchley, Woodside Park",N12
Palmers Green,N13
Southgate,N14
Seven Sisters,N15
"Stoke Newington, Stamford Hill",N16
Tottenham,N17
Upper Edmonton,N18
"Archway, Tufnell Park",N19
"Whetstone, Totteridge",N20
Winchmore Hill,N21
"Wood Green, Alexandra Palace",N22
"Regents Park, Camden Town",NW1
"Cricklewood, Neasden",NW2
"Hampstead, Swiss Cottage",NW3
"Hendon, Brent Cross",NW4
Kentish Town,NW5
"West Hampstead, Kilburn, Queens Park",NW6
Mill Hill,NW7
St Johns Wood,NW8
"Kinsbury, Colindale",NW9
"Willesden, Harlesden, Kensal Green",NW10
"Golders Green, Hampstead Gdn Suburb",NW11
"Waterloo, Bermondsey, Southwark, Borough",SE1
Abbey Wood,SE2
"Blackheath, Westcombe Park",SE3
"Brockley, Crofton Park, Honor Oak Park",SE4
Camberwell,SE5
"Catford, Hither Green, Bellingham",SE6
Charlton,SE7
Deptford,SE8
"Eltham, Mottingham",SE9
Greenwich,SE10
Lambeth,SE11
"Lee, Grove Park",SE12
"Lewisham, Hither Green",SE13
"New Cross, New Cross Gate",SE14
"Peckham, Nunhead",SE15
"Rotherhithe, South Bermonsey, Surrey Docks",SE16
"Walworth, Elephant & Castle",SE17
"Woolwich, Plumstead",SE18
"Upper Norwood, Crystal Palace",SE19
"Penge, Anerley",SE20
Dulwich,SE21
East Dulwich,SE22
Forest Hill,SE23
Herne Hill,SE24
South Norwood,SE25
Sydenham,SE26
"West Norwood, Tulse Hill",SE27
Thamesmead,SE28
"Westminster, Belgravia, Pimlico",SW1
"Brixton, Streatham Hill",SW2
"Chelsea, Brompton",SW3
Clapham,SW4
Earls Court,SW5
"Fulham, Parsons Green",SW6
South Kensington,SW7
"South Lambeth, Nine Elms",SW8
"Stockwell, Brixton",SW9
"West Brompton, Worlds End",SW10
"Battersea, Clapham Junction",SW11
Balham,SW12
"Barnes, Castelnau",SW13
"Mortlake, East Sheen",SW14
"Putney, Roehampton",SW15
"Streatham, Norbury",SW16
Tooting,SW17
"Wandsworth, Earlsfield",SW18
"Wimbledon, Merton",SW19
"South Wimbledon, Raynes Park",SW20
"Mayfair, Marylebone, Soho",W1
"Bayswater, Paddington",W2
Acton,W3
Chiswick,W4
Ealing,W5
Hammersmith,W6
Hanwell,W7
Kensington,W8
"Maida Vale, Warwick Avenue",W9
"Ladbroke Grove, North Kensington",W10
"Notting Hill, Holland Park",W11
Shepherds Bush,W12
West Ealing,W13
West Kensington,W14
